JD,Year,Month,Day,n_g,n_s,Wn,s_g,s_s,Ws,Wolf
2455928,2012,01,1,0,1,3,2,12,29,31.75
2455929,2012,01,2,1,5,14,2,12,33,46.68
2455930,2012,01,3,2,11,29,2,17,39,68.43
2455931,2012,01,4,2,15,33,2,10,28,61.84
2455932,2012,01,5,2,16,38,1,4,18,56.91
2455933,2012,01,6,2,13,29,1,3,14,43.28
2455934,2012,01,7,1,13,28,1,2,11,39.13
2455935,2012,01,8,2,16,32,1,2,9,41.47
2455936,2012,01,9,1,15,30,0,1,5,34.74
2455937,2012,01,10,2,19,37,0,0,2,39.46
2455938,2012,01,11,2,11,26,0,0,2,28.62
2455939,2012,01,12,2,10,29,0,0,0,29.68
2455940,2012,01,13,2,15,36,1,3,10,46.58
2455941,2012,01,14,2,14,36,1,4,15,51.66
2455942,2012,01,15,2,14,37,1,4,16,52.92
2455943,2012,01,16,2,14,38,1,3,13,50.89
2455944,2012,01,17,3,19,45,2,6,24,68.77
2455945,2012,01,18,2,17,39,1,5,18,56.92
2455946,2012,01,19,2,18,35,1,2,12,47.16
2455947,2012,01,20,2,18,38,0,0,2,40.65
2455948,2012,01,21,2,14,29,0,0,0,29.15
2455949,2012,01,22,2,20,42,0,0,1,43.24
2455950,2012,01,23,3,25,57,0,0,3,59.23
2455951,2012,01,24,2,15,38,0,0,4,41.96
2455952,2012,01,25,2,10,30,0,0,3,33.08
2455953,2012,01,26,2,6,22,0,1,4,25.65
2455954,2012,01,27,2,4,20,1,2,9,29.52
2455955,2012,01,28,1,2,15,1,1,8,22.73
2455956,2012,01,29,1,3,16,1,2,12,27.10
2455957,2012,01,30,2,9,24,1,2,8,31.76
2455958,2012,01,31,2,9,25,1,4,10,34.80
2455959,2012,02,1,1,9,23,1,3,11,33.56
2455960,2012,02,2,1,8,17,0,2,6,23.54
2455961,2012,02,3,1,5,13,0,0,0,12.56
2455962,2012,02,4,1,3,12,0,1,3,15.69
2455963,2012,02,5,1,2,12,0,0,2,13.27
2455964,2012,02,6,1,4,14,0,0,0,14.16
2455965,2012,02,7,1,2,9,0,0,0,8.96
2455966,2012,02,8,1,2,7,0,0,2,9.41
2455967,2012,02,9,0,1,5,0,4,8,12.75
2455968,2012,02,10,0,1,6,0,8,13,19.38
2455969,2012,02,11,0,1,4,0,6,10,14.80
2455970,2012,02,12,1,2,11,1,8,16,26.77
2455971,2012,02,13,1,2,10,1,6,12,22.13
2455972,2012,02,14,1,2,11,1,5,13,23.80
2455973,2012,02,15,1,2,10,1,3,11,20.92
2455974,2012,02,16,1,3,14,1,3,13,26.22
2455975,2012,02,17,1,2,11,1,2,8,19.69
2455976,2012,02,18,1,3,14,0,1,4,18.13
2455977,2012,02,19,1,6,19,0,1,4,22.69
2455978,2012,02,20,1,7,21,0,0,2,23.62
2455979,2012,02,21,2,9,26,0,0,0,26.72
2455980,2012,02,22,1,6,19,0,0,0,19.06
2455981,2012,02,23,2,5,21,0,0,2,22.87
2455982,2012,02,24,2,4,21,0,1,4,24.93
2455983,2012,02,25,1,2,12,0,0,2,13.58
2455984,2012,02,26,2,3,19,0,0,2,20.55
2455985,2012,02,27,1,2,17,0,0,0,17.16
2455986,2012,02,28,2,4,20,0,0,0,19.76
2455987,2012,02,29,1,2,14,0,0,1,14.77
2455988,2012,03,1,1,3,13,0,0,0,13.19
2455989,2012,03,2,1,3,16,0,0,0,16.73
2455990,2012,03,3,1,4,17,0,2,6,23.36
2455991,2012,03,4,2,9,25,1,4,10,34.79
2455992,2012,03,5,1,10,22,1,9,16,37.88
2455993,2012,03,6,1,19,33,1,11,21,53.85
2455994,2012,03,7,1,18,26,1,7,14,40.04
2455995,2012,03,8,1,20,30,1,6,13,42.42
2455996,2012,03,9,1,18,29,1,7,13,41.52
2455997,2012,03,10,1,16,27,0,4,9,35.54
2455998,2012,03,11,2,17,32,1,4,12,44.39
2455999,2012,03,12,2,17,35,1,3,11,46.12
2456000,2012,03,13,1,16,31,1,1,7,38.39
2456001,2012,03,14,1,15,28,1,1,7,35.12
2456002,2012,03,15,1,10,20,1,2,9,29.23
2456003,2012,03,16,1,8,20,1,4,17,36.79
2456004,2012,03,17,1,2,8,1,7,18,25.94
2456005,2012,03,18,0,1,5,1,6,14,19.52
2456006,2012,03,19,1,3,13,1,7,18,31.32
2456007,2012,03,20,1,3,13,2,6,21,33.76
2456008,2012,03,21,1,2,9,2,6,22,30.89
2456009,2012,03,22,1,1,10,1,5,17,27.08
2456010,2012,03,23,1,3,15,1,3,14,28.88
2456011,2012,03,24,1,5,15,1,4,14,29.88
2456012,2012,03,25,1,5,15,1,5,17,32.00
2456013,2012,03,26,1,6,17,1,6,20,36.47
2456014,2012,03,27,1,7,15,2,7,23,38.36
2456015,2012,03,28,1,6,12,2,8,28,39.80
2456016,2012,03,29,1,5,15,2,9,30,45.66
2456017,2012,03,30,1,5,15,2,7,25,40.09
2456018,2012,03,31,1,5,18,1,4,18,36.07
2456019,2012,04,1,1,4,12,1,4,14,26.47
2456020,2012,04,2,1,6,16,1,4,16,31.54
2456021,2012,04,3,1,8,17,1,4,13,29.83
2456022,2012,04,4,1,6,14,0,2,6,20.50
2456023,2012,04,5,1,11,26,0,1,3,28.88
2456024,2012,04,6,1,8,19,0,1,3,22.02
2456025,2012,04,7,1,3,11,0,0,0,11.37
2456026,2012,04,8,1,2,9,0,0,1,9.60
