CR_S,S,CR_N,N,nlat,nlong,slat,slong,count(1945)
1945-01-01,19,1945-01-01,21,24.8,249.9,-28.2,212.2,1
1945-01-02,6,1945-01-02,17,27.9,241.0,-28.0,210.9,1
1945-01-05,8,1945-01-05,57,17.3,58.6,-38.6,184.8,1
1945-01-06,134,1945-01-06,68,17.6,57.9,-24.1,34.8,2
1945-01-07,148,1945-01-07,20,17.0,54.3,-24.2,35.1,2
1945-01-08,27,1945-01-08,11,16.5,54.4,-20.8,65.8,2
1945-01-10,136,1945-01-10,80,20.8,338.5,-24.8,34.0,1
1945-01-11,125,1945-01-11,137,21.1,337.2,-25.3,32.0,2
1945-01-12,136,1945-01-12,17,9.8,112.3,-25.2,30.3,2
1945-01-13,142,1945-01-13,126,21.2,337.1,-25.0,30.1,1
1945-01-14,23,1945-01-14,96,20.9,336.9,-24.2,33.4,1
1945-01-15,24,1945-01-15,111,20.9,336.5,-24.1,33.4,1
1945-01-16,16,1945-01-16,91,20.7,336.2,-4.5,318.1,2
1945-01-17,5,1945-01-17,104,20.8,335.9,-24.9,33.0,1
1945-01-27,74,1945-01-27,40,24.2,241.3,-7.4,214.7,1
1945-01-28,164,1945-01-28,35,23.8,241.3,-7.8,215.3,1
1945-01-29,407,1945-01-29,6,25.6,237.8,-7.9,217.3,1
1945-02-19,15,1945-02-19,60,22.5,256.8,-18.7,262.8,1
1945-03-18,13,1945-03-18,21,24.0,218.4,-32.3,189.3,1
1945-03-21,363,1945-03-21,20,23.0,221.6,-30.5,135.0,1
1945-03-27,164,1945-03-27,62,33.3,60.0,-21.4,77.0,2
1945-03-28,472,1945-03-28,59,33.2,59.5,-21.2,77.2,2
1945-03-29,742,1945-03-29,34,32.9,59.2,-21.3,76.7,2
1945-03-30,854,1945-03-30,44,32.7,58.9,-21.5,76.8,2
1945-03-31,905,1945-03-31,32,32.4,58.8,-21.8,75.3,2
1945-04-01,965,1945-04-01,35,32.5,58.5,-21.2,75.0,2
1945-04-02,180,1945-04-02,61,32.5,57.5,-28.6,345.2,3
1945-04-03,112,1945-04-03,32,32.1,58.1,-28.6,345.2,3
1945-04-04,15,1945-04-04,21,32.5,57.1,-21.8,337.9,3
1945-04-05,88,1945-04-05,17,32.3,57.2,-28.7,344.1,2
1945-04-06,53,1945-04-06,16,32.5,56.4,-28.5,343.8,2
1945-04-07,40,1945-04-07,24,32.5,56.1,-28.4,343.1,2
1945-04-08,28,1945-04-08,22,33.1,54.8,-28.2,342.8,1
1945-05-01,119,1945-05-01,10,21.8,338.8,-25.7,332.5,4
